Palavra,Importancia_Total
armadilha,2.4201050605582175
conselhos,2.419842761696373
aparencia,2.413422642825127
canalha,2.4119651423594446
contar,2.4116596935736867
esposo,2.4109448790236443
vulgar,2.410716757983189
comeca,2.4017350860969056
crime,2.396256917403286
25,2.394398197205048
namorar,2.3893370281500665
bicho,2.3886413518885052
manda,2.37916121848512
livre,2.378419328223114
12,2.3758854881170692
qi,2.3739092129178507
besteira,2.3636940930694728
viva,2.3622440240006055
ouvi,2.361001435078265
agradar,2.360883230987109
aprende,2.358279206842966
espirito,2.356617589424452
amar,2.346667673541422
avo,2.3448844498754067
risco,2.343169329686046
dono,2.3420029854230444
olhos,2.3417461772399037
mercado,2.340434413708421
encontro,2.3317430219428115
sofrer,2.3300480462549458
40,2.329117280414415
vivo,2.3230362569396754
contato,2.3227011926590326
rio,2.319642665865996
virgem,2.317559917844327
mi,2.314550816636042
presa,2.310900528155241
ceu,2.308677186072094
rua,2.3075384464413675
deixo,2.3021418190656533
luxo,2.2976845880188472
professor,2.295375401906218
modo,2.2945919266361523
via,2.2940457891903043
acusacao,2.293150504958733
corre,2.2916285064946367
fa,2.286056728796438
percebe,2.285385158959242
significa,2.2852497386440476
provas,2.281745542283013
nariz,2.277925859794585
boy,2.275168199521777
midia,2.27060507075684
beber,2.270311179600391
prefiro,2.269559578155213
forcas,2.268748728526308
existir,2.2686014060260105
contas,2.2680509504436834
balada,2.2661196257884546
vendo,2.26330311503358
piada,2.263168843469146
pedreiro,2.2580311373343016
errada,2.2548468871871368
aceitar,2.2502969936552764
noticia,2.2468838948546512
opcao,2.2442164515764444
sociais,2.2427155206801674
juiz,2.2426858578158764
entrada,2.2414722544873884
pes,2.2413029620505203
regua,2.2400626695054227
perdoa,2.2372917139466804
14,2.2321976886170987
cansado,2.2297885596416807
cachorro,2.226232283131459
aguentar,2.2259836086981943
saindo,2.224471883989463
ferra,2.2199294835504304
bela,2.211405278118577
quebra,2.210869175922372
assedio,2.2094737485858054
negocio,2.2084579985587687
livrou,2.205725045026581
terem,2.2049560110285262
ambiente,2.2041154866652413
sinais,2.204093408381496
paciencia,2.200946985812471
ana,2.1993167703735463
puta,2.19725380114425
resolver,2.1924793515478074
humano,2.1908034038819895
use,2.1863974461259708
guerreiro,2.1859612816251635
limpa,2.185462465467075
chamado,2.180838408402016
feminino,2.180208251242312
procurando,2.1749914504799324
aparecer,2.172308118185117
500,2.1716872847755986
empoderadas,2.1665656236412807
doce,2.166225502226035
rapido,2.165207445586615
musicas,2.1648607121597685
cama,2.1642841700045397
chance,2.163339222898365
cai,2.159913867140729
eis,2.1551307579081156
normal,2.1541693636898698
acabar,2.1538608897514155
papai,2.1535889995910034
raiva,2.151988148751572
ricos,2.150586418181077
porta,2.15043739810381
coragem,2.148027235686212
mensagem,2.1463488580549215
vitima,2.14528900966397
bonitas,2.1440209633925082
concorda,2.141829371254967
namorado,2.1406949621327938
bebe,2.138155454575533
errou,2.137546673899271
biblia,2.1370293372603877
nota,2.1237807890574705
tamanho,2.121423669366646
gostando,2.119534804563007
dado,2.1165463754652194
daniel,2.115683422693223
sujeito,2.111614829880526
analise,2.1111619843356584
80,2.1078539907259115
existia,2.1064502951999895
seres,2.105048949959886
antigamente,2.102267242218298
pastor,2.102167663966342
sinceramente,2.1018150023764597
correr,2.1003959976196174
rir,2.0987461260631557
miqueinha,2.096375683558507
querida,2.0963390214102975
parentes,2.09385349694955
vidas,2.0918514858583475
queira,2.091043075545555
bandidos,2.0908593430813025
fugir,2.0896356127896203
perfeito,2.0875472198649234
segura,2.0830495588112767
solitude,2.081281926831475
trocar,2.080949384211386
geralmente,2.0804655779618395
perde,2.080183969818191
anda,2.0787330448645323
bolha,2.0747685198930808
regras,2.074695338383441
fizeram,2.0745432141699083
abrir,2.072034540670244
ouviu,2.0698347086150175
ganha,2.0692962324721305
caralho,2.0680980591670886
usou,2.0648136730227917
perfil,2.064113017401076
gostava,2.061315956110512
pague,2.060550285067904
penso,2.0604551952948307
decepcao,2.058668772090341
lixo,2.055359945300747
enzo,2.0536764958316933
acontecendo,2.0518056276083865
coitada,2.034578732302836
solucao,2.031458372055522
fundo,2.025402653990657
bomba,2.023663710511946
feminina,2.0227901877747314
planeta,2.022099528536367
caiu,2.0209248376580975
bosta,2.020724348050213
satanas,2.017082715440536
senso,2.016301157561283
traiu,2.0122124458015627
mandar,2.0091103339527923
abre,2.008380470541174
virar,2.007219363778556
carencia,2.0067320256631946
olhando,2.0045124963963303
fome,1.9983281705887201
par,1.993058677665344
gostaria,1.9848282271553914
economia,1.9845504163343153
mental,1.9842451237070164
00,1.9821460734639633
trata,1.9801284562875008
torna,1.9774549555267886
respeita,1.9756829852338567
neymar,1.9750403180658267
jovens,1.9736132338336443
ilusao,1.9698660679591287
acabam,1.969710383521316
cresce,1.968886665501182
namoro,1.9687432322332101
atitudes,1.9675203396498646
casadas,1.9657185700978868
regra,1.9637006439329665
salvador,1.963024293459955
mudar,1.9613829066791926
arthur,1.9586058714208368
exato,1.9577399724350113
redes,1.9558544217625413
amanha,1.9558014706240288
ganhando,1.955296554652178
900,1.9518906765861348
esquece,1.9510221597685704
verdadeira,1.9482856906472454
ego,1.9458986002984657
trai,1.9456158531009973
religiao,1.9435929895573854
universo,1.9406093821878154
sentar,1.932545520068266
60,1.9311835820797527
choro,1.9284719353775375
idiotas,1.9276436635778391
aula,1.9268915081281466
aprendeu,1.9202335316769852
arruma,1.916353343706847
eh,1.9120262902930314
fatos,1.9106057141583914
gay,1.9075556655748414
ganhe,1.8995546525067126
galinha,1.8991368821007033
texto,1.8918054803349735
va,1.8911617603631599
trabalham,1.8908945206416852
cabe,1.8901876965776059
kaka,1.889971928747558
praticamente,1.8864252111024193
dava,1.885751233934961
aluguel,1.8817780177497578
terrivel,1.8786471048188318
interesse,1.8783142665104058
conquistar,1.8771900877535201
conheci,1.8695875821589996
lascar,1.8671994541234034
fuder,1.8625337953134795
consciencia,1.8607385179075489
engole,1.860422026153662
engravida,1.8599308709632147
certinho,1.8597993957781618
fe,1.858292740225295
assistir,1.8577253677360899
espera,1.8534939871743839
esforco,1.8498224665257954
escola,1.849656589165627
envolve,1.8493478660097091
assumir,1.8493304620451707
direto,1.8484083921822534
homen,1.8477550205395241
barriga,1.8470026417155943
retorno,1.8442603635356094
gastar,1.8439338214399768
trabalhava,1.8411780562561368
principe,1.8382609937593415
menina,1.8365895091193245
oferecer,1.8354445280704703
some,1.8336763407012941
frase,1.8330587153300892
vicio,1.8288607665888348
eterno,1.8231790194738504
uniao,1.8223915614884079
inteligencia,1.8197151452271019
reacao,1.8145572351696861
acordar,1.812995858437493
devemos,1.8038105556774733
devia,1.8035101695031783
suficiente,1.8034823201341332
louco,1.8018040837696905
educar,1.8012904013809294
atuais,1.8000675188709578
meninas,1.796227207861768
impostos,1.7957116434699398
alma,1.794781383001081
sente,1.7913273500745526
preferencia,1.791039604941915
defendem,1.7902552379231906
direitos,1.7897193410963728
defende,1.7882008429039222
pensam,1.7877932136192412
sentiu,1.7849968565860066
black,1.7840201437859475
oportunidade,1.783208311952526
humanidade,1.7764672659959695
exterior,1.7763823918626738
geral,1.7759094093819645
milhoes,1.7736557538921507
pras,1.772068474824526
tia,1.771581519575091
alexandre,1.7685753937605049
restaurante,1.7685071046752365
versa,1.7637970904587854
carente,1.7634697262833652
dona,1.7623623415814291
compra,1.761083681982708
enxergar,1.7606260581022555
yt,1.7585270149512475
jogar,1.7562931580168075
liga,1.7562734454694588
respeitar,1.7559994010210396
mole,1.7555576939624378
meme,1.7540982520942427
dever,1.7505472140247123
pulou,1.750309780670162
primo,1.7501209812683851
sogra,1.7466728477326532
sensacional,1.7465541656776364
conhecidos,1.743598837993287
mangina,1.7434973367869477
joga,1.7433330859961385
manter,1.7430377071852154
garota,1.7428232361141685
salario,1.739426945646687
banana,1.7385392742713504
humana,1.7384097042374074
propaganda,1.7367260383763385
privada,1.7347797708333457
levando,1.7346889124925997
tranqueira,1.732232018612543
mentiroso,1.726534349151918
comeco,1.7259121502839858
burra,1.7244914826598652
pagaria,1.7218588533960435
nojenta,1.7200325184650063
infeliz,1.7191817482547709
fizer,1.7181231735445979
protecao,1.7178260148568634
excecao,1.7162620078743676
pix,1.715084944563523
paulo,1.713200209036044
nasceu,1.712509436536385
europa,1.7102175457841688
copo,1.7090497235127913
agrega,1.7062529746193231
namorada,1.7035923352007467
vaza,1.7025128368414717
criou,1.7022418595702349
divulgar,1.702217704396436
responsabilidade,1.7022065620198596
escolher,1.7002310282269684
parecer,1.697517348660276
longo,1.693438930678504
salva,1.6889004226515592
financeiramente,1.6884558467555948
luta,1.6879351113598058
energia,1.6846151406584915
licao,1.6822870094603313
beijo,1.679504059260641
cair,1.6782473106162585
cheia,1.675513211733491
podre,1.6738558041033267
35,1.673826449855842
adulto,1.673314380909467
apaixonado,1.6727000819529587
estoria,1.6722412917122764
evangelico,1.6722048609182034
emocional,1.671961795893344
estatal,1.6699740495178599
gera,1.6695075716537549
sujo,1.6682662712724639
carioca,1.6673357882391637
presentes,1.664842290926295
acusado,1.662359286998646
solteiras,1.6612535782511235
beijar,1.6601486429825192
personagem,1.6594058199639037
chata,1.6518302941156955
raras,1.649685447330884
adulta,1.6493348234058334
matar,1.649199474168484
incrivel,1.6485522568324016
diabo,1.6483602813285565
financeiro,1.6477335595484148
segundos,1.6473923901622773
empresas,1.645280089317865
ideia,1.6451927958238417
branco,1.643221404696154
abandonou,1.638559144754689
sacanagem,1.6371864832597165
aceito,1.6367300206704347
alerta,1.6335230504032612
falsidade,1.6325321396090988
padrao,1.6315450191854657
considerado,1.6314958910487174
sofrendo,1.6309929805580436
gato,1.6305430722354208
tatuado,1.6265712791471096
uso,1.626276738317388
vista,1.6247288517007303
crer,1.6235694956539606
tira,1.6224700256612135
pensamento,1.6144357548720534
pa,1.6143501564636025
vagabundas,1.6120940247121363
relato,1.6085210045756075
personal,1.6041744696382065
piranhas,1.603938388952057
atraente,1.6025495418436677
episodio,1.6022087930250448
chegam,1.6007352825481735
quebrar,1.6005845866052577
lista,1.5990942694795407
apanhar,1.5985177588479158
ap,1.5979906945685547
narcisistas,1.5956862884646368
brasileira,1.5952061095097363
virtude,1.5927044742658352
instagram,1.5900194803577428
alta,1.5891583016096225
gastei,1.5870184518699646
reclamam,1.5855356159522465
continuo,1.5822414075632403
casados,1.578379232307167
diferenca,1.5760862364908639
morrer,1.5760654653394077
orgulho,1.5756160712037919
depressao,1.5749453737051926
colher,1.5735629920241059
prato,1.5734506746566335
continua,1.5661315880893074
buraco,1.5616301191585882
carta,1.5612083964019559
fio,1.5611741297129458
argumentos,1.5568481354773966
desempregado,1.5543988834106859
vo,1.554196700164884
turma,1.553345648829646
idiota,1.5528147917005937
admiro,1.552185526937406
precisando,1.5510914876299013
heranca,1.5468572219527714
igualdade,1.5457782265156776
lavar,1.5450986387851326
tradicionais,1.544590588738894
quebrada,1.5435731167129878
custo,1.5422116611888939
descer,1.5420510471391065
fiel,1.5407971434443304
livrar,1.539960649326442
encontra,1.539846928747456
jogando,1.5396584847519235
receber,1.5389299187132908
aprender,1.5362900056636009
voltou,1.5361303183892967
interesseiras,1.5356622815560979
violencia,1.5356495584896972
conseguem,1.533783169820198
sonho,1.533061380773316
venha,1.5252243776661032
filosofos,1.5235932301613724
comecar,1.5224046200146908
livro,1.5191922724626252
adolescente,1.5189584610447704
sub,1.5177097435423048
obrigacao,1.5140509612547528
psiquiatra,1.511890283565088
musica,1.5113639767181564
antiotario,1.507840012999394
pobres,1.507740290374132
dica,1.504926029621268
quente,1.50225772297716
populacao,1.5002199934993754
motivos,1.4963394305671494
trabalhando,1.49622802167692
envolver,1.4949151650272374
raro,1.492358231438265
mel,1.491335084429073
brasileiras,1.4881728436910278
porcaria,1.4867582779003587
minas,1.485927548622063
21,1.4842631360883545
independente,1.4823958662225503
serie,1.4821822226414723
casais,1.4820060185604316
dependente,1.4810676212564018
valorizar,1.4799569435479962
medico,1.479218556263124
aprendi,1.4778358254394792
chorando,1.4753917715022546
terminar,1.4736640972095967
arvore,1.472817919315705
praia,1.4698510547837873
capaz,1.467954560226051
fia,1.4657848629238008
roubar,1.4657467903649875
adiantar,1.4627230499071617
agente,1.4627084692826748
dignissimas,1.461716689607043
advogado,1.461141862024549
estudo,1.457715058521604
usam,1.454299350327457
frases,1.4533735217165904
futura,1.45236148496712
bonzinho,1.4516474676932194
saibam,1.449893291551635
dificuldade,1.4485522704403677
postando,1.4472267821288547
redpill,1.4471293774976868
barzinho,1.4460167375293538
extincao,1.4444035171094716
humor,1.444172857638871
credito,1.4429436354038891
gas,1.4411638033286311
evitar,1.4406397870785757
humilhando,1.4405741529306648
felipe,1.4378275630614465
comum,1.4368994167069513
compromisso,1.4366343665582246
medio,1.4364255465347968
convidados,1.43595298810681
psicologicamente,1.4309617747489585
largou,1.4301985279761742
decisao,1.425026678816701
chorar,1.4198313858045486
tv,1.4178237940303111
disney,1.417816206259109
levam,1.416506858135778
voltando,1.4111167477694435
norte,1.4109099383370596
tornar,1.4098559268026745
aposentar,1.4098411974876806
drogas,1.4088549449745849
servir,1.4088353503450037
apoio,1.407996417035388
desgraca,1.406473612447327
tornando,1.404322542873985
carnaval,1.4029309680516437
especie,1.4008988422138176
ridiculo,1.4008403068796023
rosto,1.4005352812143335
jr,1.3977552392796744
escolhe,1.3961985888716215
egoista,1.3948147225786218
honra,1.3938211608007862
18,1.393076423388496
conversar,1.3920116857241212
questionar,1.3911602628013378
ar,1.3884157153068533
critica,1.387080804533404
verem,1.3868811319686594
imagine,1.3867168426579437
destruir,1.386028426683986
modelo,1.3835101025772847
saem,1.3818002224667518
acordo,1.3796034042479601
lindos,1.3733295382460262
lindas,1.3725331737424242
pratica,1.3715505116501212
objetivos,1.3712821073764385
aproveitar,1.371165891314081
trabalhadores,1.3706826955275424
programa,1.3698003529967717
bancar,1.3679646280031938
guerreiros,1.366478052544415
levanta,1.363799322537874
julgar,1.3627481632895393
entregar,1.3624226406148596
lar,1.3623518097206175
responsabilidades,1.360141809803555
doente,1.3588137365961646
desejo,1.3573652392366387
deusa,1.3563065973906192
unha,1.3548348005784376
sala,1.3546950277093592
valorizam,1.3507357257237536
exigencias,1.3501284932537176
terminei,1.3500256960560644
partes,1.3482412688202479
erros,1.3482021556361707
responde,1.347888802536331
tocou,1.3476865537310792
15,1.3463737942963223
tio,1.3463295167260843
metade,1.3442797200946857
lo,1.3419459272715193
cambada,1.3400674215535509
linha,1.3397402666079505
conservadores,1.3383571914355965
sentir,1.3359742767739873
experiencia,1.334463606989151
criticam,1.3335719100564793
saia,1.333400084639429
perdem,1.3262140928729207
mete,1.3251692388869485
condicao,1.3247500230093796
maravilhosa,1.322897436461127
cuidando,1.318687352930883
siga,1.3185135695372694
relacionado,1.3183601080047427
vagabunda,1.3180863714541295
definir,1.3158481634127397
media,1.3111836429306183
governo,1.3106163352113613
agressao,1.3038697506972428
mandou,1.3033288183999763
lembro,1.3024555554147632
destroi,1.3016858356642065
prefere,1.3013464235645507
desculpa,1.3006429454805875
claramente,1.2963113739955276
materia,1.2950905401495052
conteudos,1.2941327901755748
muda,1.2936635960004894
corta,1.2924062239793574
detalhes,1.2907907883690142
classe,1.286190743431654
assume,1.2861393642765937
11,1.2811288515859667
mgtow,1.280634536734464
fisico,1.2792038303742213
resolve,1.278475539883667
mudou,1.2773721024184173
confio,1.27699638803401
cultura,1.2750641807544079
satisfeito,1.274620246205482
casinha,1.2664134781533338
judiciario,1.2644086454628614
credo,1.2620428744230887
expor,1.2603907521626452
pedi,1.2597318096559789
achou,1.2589225258106467
ideias,1.2587360350733297
machado,1.2559077332788178
tentando,1.2546605600125473
pago,1.2534013577690735
nobre,1.2527313643445386
precisar,1.2519148071229533
cadeia,1.2507984925411895
argumento,1.2505742512197884
filmes,1.2504490388186003
gostamos,1.2472385789755946
escolheu,1.2469441679942201
perfeitamente,1.2460096837351564
vender,1.2454591532042842
acredite,1.244798800905214
julga,1.2447438218060292
agir,1.2440952427099967
sobe,1.2433009420244403
patrimonio,1.2431530695020083
emocionados,1.2426079096899545
criando,1.242591552324181
prestar,1.242242356448962
fale,1.239730234875883
galera,1.2392999908213274
assuma,1.2379260367674556
entenda,1.237655936035479
vim,1.235723093195148
criada,1.234322328385593
fisica,1.2331590207723049
logica,1.2323022000176236
confia,1.230098556813482
controle,1.2259233899678288
vantagem,1.2248677872038392
aplicar,1.224852991153393
emocoes,1.223447869744657
sigo,1.2231803906127858
moto,1.2227657987674287
princesa,1.2213287394385541
ordinaria,1.2195722328227945
aproveita,1.2190517938660697
percebeu,1.2181534580046938
cha,1.2153943146205097
funcao,1.2147799048713486
resultado,1.2124250649218251
