Palavra,Importancia_Total
doce,1.5946554123310586
seres,1.5929836591011455
ilusao,1.5909333707587294
atuais,1.589442505472344
garota,1.5894042972491809
universo,1.5878805916251668
devia,1.5874819529934114
tia,1.5874502702613889
sensacional,1.5873307964847625
gastar,1.585322517700689
obrigada,1.5852417529384804
concorda,1.584791337355558
choro,1.5845674730572008
engravida,1.5843845735600306
meninas,1.582470416745629
idiotas,1.5816292357293662
redes,1.5784085305929292
olhando,1.578357683778412
amar,1.578151626378792
deste,1.5757498528057927
falsas,1.5744866279241607
banana,1.57444173332095
velhos,1.573870775218699
amanha,1.570274845150806
proprios,1.5668826104503606
500,1.566656529914187
traiu,1.566172422539799
perfeito,1.5648151548334965
abrir,1.5609567822136963
galinha,1.5593527803929539
faria,1.5588037509960502
assumir,1.5587951576052128
raras,1.5587138498373594
jovens,1.5586323286189687
versa,1.5574434216301163
60,1.5560240328988344
cama,1.5535017733485588
abandonou,1.5533372788250666
contato,1.5521770878240626
sogra,1.5492500852935343
geral,1.5464120469597646
kkkkkkkkkk,1.5463574017063286
adulto,1.5456041066926303
trai,1.542017741852447
va,1.5394095106327468
tchau,1.5379561388756842
black,1.5345523927862041
alma,1.534144073929174
terrivel,1.532620767624909
cansado,1.5315838686354661
eh,1.529312822134988
mangina,1.5291696952165799
humana,1.5287254001710724
envolve,1.5225706338459222
pego,1.518264139279939
segura,1.5169098215267791
tres,1.5163569342295553
trabalhava,1.5161453562794327
padrao,1.5140773241164927
paulo,1.5139906531110747
religiao,1.5136576495755896
trata,1.509099618266619
querida,1.5070813381838633
poucas,1.5061470119234346
ego,1.5047514053465858
louco,1.5041168570891847
cade,1.501201715992102
retorno,1.50028404853843
joga,1.4979149296994114
inteligencia,1.4973198070440379
seguinte,1.4914493507842947
energia,1.4912158166921567
parecer,1.4888382002162208
aula,1.4874062460685822
exato,1.4839397306020377
principe,1.4825269926611602
mudar,1.4823898081696167
menina,1.4820964558586598
carioca,1.477956263418339
oferecer,1.4753319393654718
assistir,1.474168291676191
texto,1.4736147417029746
nasceu,1.4710641430524896
vicio,1.4702258695771038
colher,1.4701633696840686
propaganda,1.4691620805069951
vidas,1.4687579623247264
consciencia,1.4681378871117872
livro,1.4673547759706107
rir,1.4667521602062228
mandar,1.4657216644110271
planeta,1.4653511706461952
educar,1.465162445437329
queira,1.4649782926564547
podre,1.464721188985003
bomba,1.4628165745698747
quantas,1.4627512873040789
tranqueira,1.4620259099524129
casadas,1.4610564168291484
apaixonado,1.460414671791633
enxergar,1.4596520278254441
vo,1.4577491492721872
humanidade,1.4577091272990526
eterno,1.457608581930305
homen,1.4562177146031217
beijo,1.4557755033669812
kaka,1.455241020298233
fazia,1.454124326054489
sofrendo,1.4515096298781902
compra,1.4491264733336289
diferentes,1.447024601089117
parceiro,1.4445163281477398
uniao,1.442909610575338
interesse,1.4426708903376546
mentiroso,1.4390259296044956
escola,1.4332115545844115
cachorro,1.4323589235956797
